equation,complexity,loss
0,0,292500000.0
82.65*X3,3,16.967485654492894
35.56*X1 + 80.33,5,3.495461865483383
32.37*X1*X4 + 65.10,6,2.214641142638327
89.80*exp(X2*(0.31*X3 - 0.17)),7,1.4983503847904078
47.69*X2*X3 - 26.78*X2 + 84.03,9,1.261108210822722
66.16*X3 + 53.11 - 7.05*X3/X2,10,0.7574641681457366
83.02*log(X3) + 132.97 - 5.79*X4/X2,11,0.6902270313530373
55.65*X3 - 5.75*X5 + 87.60*exp(-0.45/X2),12,0.6650635112258473
76.50*X1*log(X3) + 7.38*X1 - 55.73*X3 + 170.95,13,0.5226585762664732
66.08*X2*X3 - 57.32*X2 - 33.67*X3 + 145.13 - 0.59/X6,15,0.35950628870262596
(-85.23*X1 + X3*(109.24*X1 - 39.75*X3 + 127.49) + 19.22)/X3,16,0.27853128920805553
-15.80*X6 + 90.78*log(X3) + 135.53 - 23.80/X2 + 26.08/X1,17,0.21524219698868693
-8.73*X6 - 18.86*log(X1) + 92.09*log(X3) + 148.87 - 7.64*X4/X2,18,0.20043568277885457
-7.86*X5 - 16.10*X6 + 97.96*log(X3) + 142.51 - 23.15/X2 + 26.84/X1,20,0.1764899219578391
-15.97*X5*X6 - 4.07*X6 + 102.25*log(X3) + 134.05 - 24.84/X2 + 33.73/X1,21,0.15062150419585063
45.29*X1*log(X3) + 40.82*X2*log(X3) - 31.10*X4*log(X3) - 53.42*X6*log(X3) - 10.60*log(X1) + 139.18,26,0.14619162859955606
2.47*X1*X4 + 17.87*X1*log(X3) + 21.17*X2*X4 + 18.09*X2*log(X3) - 16.03*X4 + 11.80*log(X3) + 104.42,27,0.06712819187603061
83.44*X1*X4 - 59.99*X1*log(X3) + 8.67*X2*X4 + 76.60*X2*log(X3) - 54.14*X4 - 84.18*log(X1) - 27.76*log(X3) + 76.59,31,0.04011119433494534
(X2*(-15.98*X1*log(X1) + 28.71*X1*log(X3) + 62.50*X1 - 16.52*X6*log(X1) + 37.57*X6*log(X3) + 40.30) - 4.87*log(X1) - 12.28*log(X3))/X2,36,0.03582298664231897
(X2*(108.55*X1**0.50 + 0.55*X1*log(X1) + 25.85*X1*log(X3) - 19.28*X6*log(X1) + 43.79*X6*log(X3) - 7.63) - 5.39*log(X1) - 11.63*log(X3))/X2,37,0.007004065561344234
114.39*X1**0.50 - 27.38*X1*log(X1) + 42.35*X1*log(X3) - 11.39*X4*X6*log(X1) - 16.76*X4*X6*log(X3) + 11.94*log(X1)*log(X2) + 26.76*log(X2)*log(X3) + 5.35,41,0.002639259732624234
