equation,complexity,loss
0,0,292500000.0
82.65*X3,3,6.954468956585694
41.80*X3 + 62.05,5,4.175418984574844
169.77 - 48.74/X3,6,2.3596626067694975
51.07*X1 + 35.70*X4 + 0.64,7,1.760798039990479
69.41*X2 + 57.69*log(X3*X4),8,1.4796064214244709
45.85*X2 + 140.87 - 79.81/X3,9,1.2769035366025236
226.73 - 76.70/X3 - 14.45/X2,10,0.7842398082134766
223.14 - 78.27/X3 - 6.08*X5/X2,11,0.7786986424477798
36.17*X1*X4 - 2.33*X5 + 15.72*X6 + 45.82,12,0.49222195725570655
35.75*X1*X4 + 5.14*X2 + 0.65*X5 + 15.76*X6 + 36.39,14,0.4273547153000898
94.90*X1 - 138.33*X2*X6 + 62.10*X2 + 207.86*X6 - 103.51,15,0.3414129600088212
18.56*X1*X4 + 40.15*X2*X4 + 18.34*X5 - 6.13*X6 + 8.03,16,0.2667480921603406
-2.67*X1*X4 + 24.33*X2*X3*X4 + 5.57*X5 - 2.80*X6 + 66.07,17,0.20671560338947784
84.63*X1 - 25.29*X6 - 77.11*log(X1) + 65.21*log(X2) + 132.64*log(X4),18,0.1623883086798336
88.01*X1*X4 - 92.91*X4 + 16.26*X5 + 24.39*X6 - 104.29*log(X1) + 75.97,19,0.08575024362661225
39.72*X1*X4 - 7.07*X5 - 17.68*X6 + 75.74 - 50.23/(X2*X5) + 56.27/X1,21,0.039139403092141395
67.51*X1*X4 - 43.05*X3*X4 + 70.62*X3 - 1.08*X5 + 9.10*X6 - 72.65*log(X1) + 13.42,23,0.0378117999068277
0.58*X1*log(X1) + 67.52*X1 - 11.94*X5*log(X1) + 22.39*X5 - 42.13*X6*log(X1) - 8.49*X6 + 69.77*log(X1)*log(X3) - 6.82*log(X3) + 5.70,35,0.02185557922885088
-11.07*X1*log(X1) + 111.04*X1 - 1.50*X5*log(X1) + 21.76*X5 - 75.78*X6*log(X1) - 30.83*X6 + 25.86*log(X1)*log(X3) - 2.52*log(X3) - 28.71,36,0.017551953631055238
63.90*X1 - 16.53*X5*log(X1) + 16.84*X5 - 11.86*log(X1)*log(X2) + 66.51*log(X1)*log(X3) - 65.72*log(X1) + 29.63*log(X2) + 38.55*log(X3) + 19.61,37,0.007624499685200628
40.75*X1 + 5.94*X5*log(X1) + 13.28*X5 - 32.68*X6*log(X1) - 7.77*X6 + 27.00*log(X1)**2 + 61.94*log(X1)*log(X3) - 3.14*log(X1) + 3.02*log(X3) + 40.75,41,0.0038504825626042
38.63*X1 + 1.00*X5*log(X1) + 16.86*X5 - 34.37*X6*log(X1) - 7.67*X6 - 27.07*log(1/X1)*log(X1) - 7.24*log(1/X1) + 67.58*log(X1)*log(X3) - 2.31*log(X3) + 38.63,45,0.00325397240142776
