equation,complexity,loss
0,0,292500000.0
82.64*X3,3,14.123268693658952
41.80*X3 + 62.06,5,2.8044891617370866
32.37*X1*X4 + 65.09,6,1.6203460287248872
22.99*X2*X3*X4 + 69.60,7,1.4022194406420783
X3**0.50*(34.39*X2 + 67.02),8,1.3894684255528886
61.77*X3 + 60.95 - 13.37/X2,9,0.7035533986598707
85.70*log(X3) + 149.83*exp(-0.24/X2),10,0.5601006321747014
63.46*X3 + 0.99*X5 + 57.14 - 13.16/X2,11,0.5385313698141189
X4*(30.67*X1 - 36.32*X4 + 6.72*X6 + 106.99),12,0.4958492273904777
54.16*X2*X4 - 24.17*X6 + 110.20 - 51.17/X3,13,0.2918093658530338
42.52*log(X2) + 297.85*exp(-1.14/X3) + 3.77/X6,15,0.25951162068415207
63.46*X3 + 5.24*X5 + 51.80 - 0.14/X6 - 7.44*X3/X2,16,0.19469355083806006
-15.76*X6 + 90.79*log(X3) + 135.56 - 23.77/X2 + 25.99/X1,17,0.09652041498355195
-0.92*X5 - 20.13*X6 + 97.91*log(X3) + 136.37 - 27.94/X2 + 36.43/X1,19,0.05732089708559018
-7.56*X5 - 16.43*X6 + 98.16*log(X3) + 142.01 - 23.49/X2 + 27.74/X1,20,0.04124514144955282
119.15*X3 + 24.29*X5 + 3.16*X6 - 85.84*log(X3) - 48.28 - 21.23/X2 + 20.07/X1,23,0.0390912391344274
91.90*X3**0.50 + 26.39*X3*log(X2) + 23.26*X3 - 1.77*X6*log(X2) - 2.65*X6 - 0.69*log(X1)*log(X2) - 15.85*log(X1),30,0.030241940717505744
-8.71*X1*X4 + 11.06*X1*log(X2) + 56.12*X1*log(X3) - 20.83*X3 + 20.33*X4 + 2.53*X5 + 24.86*log(X2) + 14.59*log(X3) + 109.80,33,0.026042957127588324
39.93*X1*log(X1) + 18.61*X1 - 6.23*X3*log(X1) + 16.97*X3 + 24.41*X5*log(X1) + 8.01*X5 - 65.07*X6*log(X1) - 29.17*X6 + 58.72,34,0.011607171364332425
((106.53*X3**0.50 + 10.32*X3*log(X1) - 6.71*X3 - 19.05*X6*log(X1) + 1.97*X6 - 25.23*log(X1)*log(X5) - 60.31*log(X5))*log(X4) + 23.31*log(X1) + 9.60)/log(X4),42,0.001963565337778694
