equation,complexity,loss
0,0,292500000.0
422.25*X3,3,17.040607116572374
104.75*X3 + 482.41,5,6.186065375176617
748.58 - 117.01/X3,6,3.8231869337597963
155.49*X1 + 66.49*X4 + 330.47,8,2.805744678357588
117.80*X1 + 576.05 - 93.02/X3,9,2.1325850087714
920.57 - 199.00/X3 - 45.12/X2,10,1.3508935624410914
959.24 - 211.10/X3 - 65.40*X3/X1,11,1.295119491857678
100.40*X1*X4 - 8.42*X5 + 9.49*X6 + 456.39,12,1.2807803588120548
-46.34*X6 + 217.95*log(X3) + 736.07 - 49.14/X2,13,0.8153288081971869
223.51*X1*X3*X6 - 219.94*X1*X6 + 106.95*X2 + 427.66,14,0.5592217789138575
272.21*log(X3) + 616.29 + 21.52/X6 - 24.16*X3/X2,15,0.5268362640472223
258.36*log(X3) - 387.78 + 1021.40*exp(-0.06/X2) + 21.36/X6,16,0.3876683264103386
151.35*X1*X3*X6 + 116.39*X2 - 17.05*X6*exp(1.20*X2) + 411.68,17,0.3097662017519584
150.47*X1*X3*X6 + 130.67*X2 - 2.35*X4*X6*exp(2.20*X2) + 394.51,18,0.28461343788089316
94.32*X3 + 682.53*X5*log(X4) + 900.82*log(X2) - 273.16 + 93.46/(X2*X6),19,0.22820937110680542
-84.54*X3 - 175.07*X6 + 1032.48 + 105.32/(1.37*X5 - 1) - 30.82/(X2*X6),20,0.1642292543106832
27.26*X1*X4 + 223.79*X3*log(X2) + 40.90*X5 - 36.05*X6 - 302.87*log(X2) + 650.65,21,0.13588235190244086
(68.57*X1 - 58.31*X5 + X6*(-27.99*X1*X4 + 222.90*X5 + 58.46*X6 + 242.37) + 87.53*log(X1))/X6,25,0.07953500997082465
114.32*X1*log(X1)*log(X3) + 36.07*X1 - 86.03*X3 + 84.54*X5 + 20.61*X6 + 151.07*log(X1)*log(X3) + 560.44,27,0.07863489686376134
178.32*X1*log(X1)*log(X3) + 35.39*X1 - 133.13*X3 + 50.60*X4*log(X1)*log(X3) + 121.84*X5 + 28.15*X6 + 557.69,28,0.023962552630572957
-109.20*X1*log(X1) + 491.53*X1 - 113.05*X5*log(X1) + 174.06*X5 - 228.16*X6*log(X1) - 176.59*X6 - 128.41*log(X1)*log(X2) + 89.20*log(X2) + 12.01/X3,38,0.005341973910033857
