equation,complexity,loss
0,0,280800000.0
82.65*X3,3,16.44624429964594
126.35 - 0.80*X6,4,6.008492984183083
35.56*X1 + 80.33,5,3.208762496191608
32.37*X1*X4 + 65.10,6,2.0570066657513313
47.69*X2*X3 - 26.78*X2 + 84.03,9,1.231711587740031
66.16*X3 + 53.12 - 7.05*X3/X2,10,0.6705826872129831
65.40*X3 + 55.32 - 5.98*exp(0.43*X3)/X2,12,0.5881182902732789
76.50*X1*log(X3) + 7.38*X1 - 55.73*X3 + 170.94,13,0.36691359159331943
62.48*X1*log(X1) + 48.07*log(X1) + 97.23 - 123.08*log(X1)/X3,17,0.3436732463868363
77.62*X1*log(X3) + 14.76*X1 - 53.26*X3*log(X3) + 15.49*X3 + 97.31,18,0.21408091669400547
58.17*X1*X3 - 52.40*X1 - 31.73*X3**2 + 39.31*X3 + 11.80*X6 + 91.80,20,0.1304790224774831
96.90*X1*X2 + 55.53*X1 - 50.79*X2**2 - 106.22*X2*log(X1) - 12.44*X2 - 16.11*log(X1) + 31.77,26,0.12078770519589486
(-24.07*X2 + X3*(36.34*X1*X2 + 0.76*X1*log(X1) + 4.68*X2 + 75.78*log(X1) + 88.42) - 146.72*log(X1))/X3,27,0.09539229583927739
(-24.52*X2 + X3*(35.43*X1*X2 + 1.19*X1*log(X1) + 6.34*X2 + 74.89*log(X1) + 88.49) - 144.71*log(X1))/X3,28,0.09486502313720607
88.82*X1*X3 - 19.35*X1*log(X1) - 2.34*X3**2 - 25.38*X3*X5 - 147.51*X3*log(X1) + 85.20*X5*log(X1) + 48.11,30,0.06629844851489523
(X3*(43.70*X1*log(X1) + 11.40*X1*log(X5) + 41.49*log(X1) - 67.35*log(X5) + 126.03) - 85.12*log(X1) + 56.52*log(X5))/X3,31,0.040179040115385097
48.42*X1*X3 - 37.84*X1*log(X1) + 41.15*X2*X3 - 47.04*X2*log(X1) - 41.76*X3*log(X3) + 22.38*X3 - 119.73*log(X1)*log(X3) + 48.04*log(X1) - 0.77,37,0.023342646493698455
(X3*(75.54*X3 - 8.51*X4*X6 - 43.15*X4*log(X3) - 9.11*X4 - 19.95*X6*log(X1) + 54.84*log(X1)*log(X3) + 4.70*log(X1)) + 9.38*X6 + 96.00*log(X3) + 75.54)/X3,42,0.015045804201491654
(X3*(77.91*X3 - 4.45*X4*X6 + 36.30*X4*log(1/X3) - 17.93*X4 - 16.59*X6*log(X1) - 52.00*log(X1)*log(1/X3) + 3.05*log(X1)) + 6.16*X6 - 91.66*log(1/X3) + 77.91)/X3,48,0.012950884645970518
