equation,complexity,loss
0,0,292500000.0
422.25*X3,3,18.412944328466846
104.75*X3 + 482.41,5,6.329474256793482
761.19 - 122.09/X3,6,3.9171316538032586
155.31*X1 + 66.41*X4 + 330.77,8,2.8839380360850524
117.82*X1 + 575.97 - 93.01/X3,9,2.176565982931295
920.51 - 198.97/X3 - 45.11/X2,10,1.4028333687867398
856.45 - 171.95/X3 - 13.16/(X1*X2),11,1.312751656161316
920.67 - 204.83/X3 - 20.48*X4*X5/X1,12,1.2612339644970427
-46.41*X6 + 217.95*log(X3) + 736.18 - 49.16/X2,13,0.8180881362995613
253.00*log(X3) + 626.39 + 21.02/X6 - 45.80/X2,14,0.6182732350021328
-59.40*X1 - 69.60*X6 + 250.84*log(X3) + 857.34 - 63.75/X2,16,0.5864080027707809
71.05*X6 + 858.92 + 45.86/X6 - 257.23/X3 - 123.20/X1,17,0.487390035936258
145.84*X3 - 14.39*X4 + 102.27*X5 + 382.19 + 18.07/X6 - 54.72/X2,19,0.43931397623887564
101.98*X1 + 461.98*X2 + 178.23*X4 + 30.98*X5 - 47.38*X6 - 87.21*exp(0.94*X2),20,0.30959609575060365
130.03*X3 + 32.94*X4 + 78.23*X5 + 493.84*exp(-0.68/X2)**0.50 - 69.34 + 18.66/X6,23,0.2124641882350534
10.40*X1*X4 + 35.05*X1 + 35.81*X1/X6 + 4.04*X2*X4*X5*X6 + 76.86*X2*X5 + 69.54*X2 + 163.66*X4,28,0.07186619191514225
-21.15*X1*X4 + 41.44*X1 + 34.30*X1/X6 + 2.85*X2*X3*X4*X5*X6 + 48.35*X2*X3*X5 + 98.48*X2 + 176.06*X4,30,0.06207565519582985
24.30*X1*X4 + 23.06*X1*X5 - 1.38*X1 + 40.39*X1/X6 - 28.31*X2*X4*X6 + 86.52*X2*X5*X6 + 94.67*X2 + 156.61*X4,32,0.05769357651000364
(X6*(380.51*X1 + 45.01*X2*X4*X5*X6 + 29.45*X2*X5 - 146.65*X2 - 24.30*X4*log(X1) + 53.93*X4) - 47.72*log(X1) + 51.61)/X6,33,0.041190491203600195
(20.87*X1**0.50 + 4.21*X2*X5 + X6*(53.20*X1**0.50*X4 + 49.94*X2*X4*X5 - 17.21*X4*log(X1) + 378.82) + 56.14*log(X1))/X6,34,0.02893176624291331
(31.27*X1**0.25 + X6*(86.29*X1**0.25*X4 - 1.18*X2*X4*X5*X6 + 79.43*X2*X5 - 55.05*X4*log(X1) + 283.10) + 111.46*log(X1))/X6,35,0.01311040082199977
(25.81*X1 + X6*(329.43*X1*X4 + 53.47*X1 + 48.80*X2*X4*X5*X6 + 31.43*X2*X5 - 57.32*X2 - 56.63*X4*log(X1) - 375.98*log(X4)) - 227.66*log(X1))/X6,39,0.007430994648905595
(28.24*X1**0.50 + 18.48*X2*X3*X5**0.50 + X6*(237.39*X1**0.50*X4 - 43.84*X2*X3*X4*X5**0.50 + 3.57*X2*X4*X5**0.50*X6 + 232.50*X2*X5**0.50 - 95.05*X4*log(X1) - 90.85) + 44.55*log(X1))/X6,54,0.0029090956788106657
