equation,complexity,loss
0,0,292500000.0
422.25*X3,3,15.56872736618409
104.75*X3 + 482.41,5,4.946247496468907
761.01 - 121.92/X3,6,3.3034650143180215
155.25*X1 + 66.38*X4 + 330.88,8,2.194825462409078
160.64*X1 + 126.14*log(X4) + 385.37,9,1.8047930798350518
920.51 - 198.97/X3 - 45.11/X2,10,1.1237798530764584
856.05 - 171.92/X3 - 13.15/(X1*X2),11,0.9788232481915825
100.41*X1*X4 - 8.41*X5 + 9.48*X6 + 456.35,12,0.8496073937621663
-46.45*X6 + 217.84*log(X3) + 736.35 - 49.21/X2,13,0.6629175219825235
-78.07*log(X6) + 950.03 - 257.03/X3 - 48.82/X2,14,0.535809547956174
-2.76*X1 + 393.43*X2 - 122.22*X6 + 847.15 - 731.16/X4,15,0.357364999010684
-650.27*X4 - 4.72*X6 + 143.21*log(X1) + 1046.01*log(X4) + 1324.83,16,0.299032180809023
120.56*X1*X4 - 147.69*X1*X6 + 168.84*X2 + 83.04*X5*X6 + 244.63,17,0.2104745806846263
144.05*X2*X4 - 98.14*X6 + 21.81*log(X1*X4) + 585.02 - 98.33/X3,18,0.17274228581389764
115.54*X1*X4 - 194.59*X1*X6 + 237.44*X2 + 110.63*X5 + 92.72*X6 + 79.34,19,0.1223371840665086
154.85*X2*X4 + 12.32*X4*log(X1)*log(X4) - 100.06*X6 + 618.20 - 129.45/X3,20,0.11673945677032276
123.62*X1*X4 - 174.09*X1*X6 + 157.89*X2 - 68.85*X4 + 105.90*X5 + 105.38*X6 + 253.91,22,0.10944555311660498
339.27*X2*X4**0.50 - 210.57*X2 - 83.16*X6 + 53.80*log(X1*X4) + 547.04 - 50.55/X3,23,0.05241016517857811
-17.21*X1**2*log(X1) + 170.06*X2*X4 + 25.57*X4*log(X1)*log(X4) - 109.76*X6 + 643.24 - 139.17/X3,27,0.043359118970274196
22.25*X1*X3*X4 + 82.32*X1*X4 - 212.52*X1*X6 + 347.12*X2 + 8.81*X3*X4*X5 - 78.64*X3 + 44.26*X4*X5 + 106.49*X5*X6,32,0.029793654100933303
306.17*X1*X4 + 46.34*X1*X5 + 51.36*X1*X6 - 172.79*X1*log(X1) + 252.86*X2 - 148.17*X4 + 29.30*X5 - 57.19*X6 - 388.69*log(X1),33,0.026488866945044657
-207.54*X4*log(X1) + 23.54*X4 - 286.35*X5*log(X1) + 293.17*X5 + 480.96*X6*log(X1) + 360.01*X6 + 1514.40*log(X1)*log(X3) - 517.47*log(X3),34,0.021618646130042135
(X2*(224.25*X3 - 26.95*X4*log(X1) + 69.40*X4 + 272.82*X6*log(X1) + 256.52*X6 + 789.31*log(X1)*log(X5) - 369.94*log(X5)) - 76.17*log(X1) + 31.07)/X2,38,0.009349876615461189
(99.11*X1 + X6*(217.40*X1*X4 + 82.95*X1*X5 + 291.69*X1*X6 - 117.01*X4*log(X1) + 67.52*X5*log(X1) - 72.20*X6*log(X1) - 454.48) - 247.17*log(X1))/X6,39,0.008423325076109897
(79.36*X1**0.50 + X6*(54.19*X1**0.50*X4 + 135.36*X1**0.50*X5 + 176.93*X1**0.50*X6 - 144.68*X4*log(X1) + 4.36*X5*log(X1) + 45.62*X6*log(X1) - 59.02) + 129.73*log(X1))/X6,47,0.008231124088647948
(77.33*X1**0.50 + X6*(112.36*X1**0.50*X4 + 136.47*X1**0.50*X5 + 124.82*X1**0.50*X6 - 95.59*X3 - 248.37*X4*log(X1) + 37.37*X5*log(X1) + 66.38*X6*log(X1)) + 216.36*log(X1))/X6,48,0.006279978224546131
(100.02*X1**0.50 + X6*(75.18*X1**0.50*X4 + 272.02*X1**0.50*X6 + 176.58*X1**0.50*log(X5) - 31.09*X3 - 212.96*X4*log(X1) + 154.80*X6*log(X1) + 44.07*log(X1)*log(X5)) + 175.39*log(X1))/X6,50,0.0038204149494111485
