equation,complexity,loss
0,0,280800000.0
422.25*X3,3,17.833884625328572
104.75*X3 + 482.41,5,6.08765183995882
748.68 - 117.02/X3,6,3.753212257588485
155.46*X1 + 66.47*X4 + 330.53,8,2.7815792365694434
117.82*X1 + 575.98 - 93.01/X3,9,2.0787193065554623
920.49 - 198.96/X3 - 45.10/X2,10,1.3454204780173022
959.51 - 211.21/X3 - 65.48*X3/X1,11,1.2655975898057563
100.41*X1*X4 - 8.42*X5 + 9.49*X6 + 456.35,12,1.2432801974122691
-46.42*X6 + 217.86*log(X3) + 736.15 - 49.13/X2,13,0.7883511453544729
253.23*log(X3) + 626.53 + 20.99/X6 - 45.84/X2,14,0.5780515106338783
0.01*exp(1.33/X6) + 278.30*log(X3) + 648.34 - 47.25/X2,16,0.5451126607448573
-111.99*X6 - 85.18*log(X1) + 1154.69 - 267.26/X3 - 73.36/X2,17,0.2878604495627089
-111.01*X6 - 137.68*log(X1*X4) + 1326.16 - 384.13/X3 - 77.00/X2,18,0.27145428837158175
-116.38*X6 - 113.80*log(X1*X3*X4) + 1426.79 - 476.17/X3 - 73.40/X2,19,0.17146304903947937
-127.12*log(X1*X4) + 623.63 + 700.14*exp(-0.23*X6) - 370.76/X3 - 73.76/X2,20,0.09008680142144783
454.13*X1**0.50 - 45.38*X1*X4 + 15.37*X1*X6 + 122.91*X2*X4 - 159.32*X2*X6 - 7.91*X3*X4 + 159.78*X3*X6 + 41.16,31,0.06992331323294819
251.36*X3 - 40.25*X4*X5 - 27.60*X4*X6 - 120.88*X4*log(X1) + 83.04*X5*log(X5) - 326.93*X6*log(X5) + 492.74*log(X1)*log(X5) + 443.92,34,0.05261447484310542
555.90*X1**0.50 + 24.43*X1 - 26.48*X4 - 177.81*X5*log(X5) + 78.18*X5 + 405.76*X6*log(X5) + 25.44*X6 - 33.48*log(X1)*log(X5) - 75.18*log(X1),37,0.014987580333852285
630.31*X1**0.50 + 0.52*X1 - 7.29*X4*X5 + 12.59*X4*X6 - 37.03*X4*log(X1) - 127.09*X5*log(X5) + 429.63*X6*log(X5) - 32.68*log(X1)*log(X5) - 14.23,38,0.012503493895766023
623.50*X1**0.50 + 3.52*X1 - 5.65*X4*X5 + 12.22*X4*X6 - 37.24*X4*log(X1) - 129.45*X5*log(X5) + 427.30*X6*log(X5) - 29.51*log(X1)*log(X5) - 12.22,39,0.011292122907813047
613.82*X1**0.50 + 8.08*X1 - 5.05*X4*X5 + 11.93*X4*X6 - 37.94*X4*log(X1) - 64.94*X5*log(X5**2) + 212.49*X6*log(X5**2) - 13.20*log(X1)*log(X5**2) - 7.92,45,0.010687258339683087
