equation,complexity,loss
0,0,292500000.0
82.65*X3,3,16.83691228430707
126.36 - 0.80*X6,4,11.693920318016055
41.80*X3 + 62.04,5,5.541064184226992
170.37 - 49.26/X3,6,4.136721602217039
51.43*X1 + 34.03*X4 + 2.04,8,2.710512803908713
52.65*X1 + 57.43*log(X4) + 34.99,9,2.216647181359045
226.74 - 76.72/X3 - 14.44/X2,10,1.304638544967643
61.21*X3 + 62.90 - 0.44/X6 - 13.41/X2,12,0.8391111594673611
48.66*X3 + 99.07 - 18.97/X3 - 13.84/X2,13,0.7931073301840982
94.34*X1 - 137.40*X2*X6 + 62.45*X2 + 206.14*X6 - 103.17,15,0.3792617356989243
53.69*X1 - 73.15*X2*X6 + 78.51*X2 + 104.60*X3*X6 - 87.43,16,0.3316929612453389
92.27*X1 - 25.74*X4 + 35.12*X6 - 16.84*exp(1.03*X2) + 101.38,17,0.3186290394883767
4.11*X1 + 73.36*X2*X4 - 18.17*X4*X6 + 57.45*X4 + 1.45*X5 - 61.71,19,0.20780788122532257
37.84*X1*X4 - 9.03*X1*X6 - 16.97*X4*X5 + 5.99*X4 + 48.44*X5*X6 - 26.37*X6 + 64.05,24,0.17406902068195798
38.08*X1*X4 - 25.59*X1*X6 + 32.73*X2 - 7.41*X4*X5 + 11.30*X4 + 36.98*X5*X6 - 10.61*X6 + 2.73,27,0.14343435539059277
0.88*X1*X4 + 29.85*X1*log(X3) + 21.01*X2*X4 + 9.46*X2*log(X3) - 3.00*X4**2 - 0.02*X4*log(X3) + 89.18,28,0.09002501743662657
0.96*X1*X4 + 29.23*X1*log(X3) + 23.99*X2*X4 + 7.63*X2*log(X3) - 2.85*X4**2 + 2.84*X4*log(X3) + 81.23,29,0.08574000082754847
(X2*(62.98*X3 + 15.92*X5 + 6.19*X6 - 7.94*log(X1) + 45.49) - 9.07*X5 - 9.16*X6 - 8.22*log(X1) + 1.19)/X2,30,0.055143361548173266
(4.79*X1 + X2*(14.58*X1*log(X1) + 82.66*X1 - 0.49*X5*log(X1) + 27.73*X5 - 83.03*X6*log(X1) - 46.84*X6) - 4.94*X5 + 6.94*X6)/X2,35,0.02169490202507293
2.80*X1*X5 - 9.59*X1*log(X1) + 72.55*X1 + 29.22*X3 + 10.65*X5*X6 + 6.67*X5*log(X2) - 51.86*X6*log(X1) - 32.05*X6 - 0.26*log(X1)*log(X2) + 2.80*log(X2),41,0.008948861267977377
38.69*X1**2 - 8.78*X1*X6 - 22.89*X1*log(X1) - 6.72*X1*log(X5) + 22.47*X3 - 42.77*X6*log(X1) + 17.48*X6*log(X5) + 44.61*log(X1)*log(X5) + 41.67*log(X5)**2,44,0.006241314104675037
