equation,complexity,loss
0,0,305217391.3043478
82.64*X3,3,17.31655278013065
41.80*X3 + 62.03,5,5.630187091378095
170.37 - 49.26/X3,6,4.122438890523184
51.43*X1 + 34.02*X4 + 2.05,8,2.750641251739256
52.66*X1 + 57.44*log(X4) + 34.98,9,2.1782111433638636
79.99*log(X2*X3) + 201.29*exp(-0.49*X2),10,1.1285272804553352
61.12*X3 + 62.96 - 0.45/X6 - 13.38/X2,12,0.8661225667607063
-2.76*X6 + 80.55*log(X3) + 139.19 - 14.87/X2,13,0.6324135393503866
9.38*X1*X6 + 77.89*X1*log(X4) + 33.67*X2 + 52.51,14,0.38808229511894315
97.44*X1 - 140.05*X2*X6 + 63.70*X2 + 210.33*X6 - 108.58,15,0.3191133504207505
-8.29*X1 + 152.77*X2 - 98.32*X4 - 39.83*X6 + 371.97*log(X4),16,0.2958771529986928
81.61*X1 - 20.12*X4 + 31.32*X6 - 8.39*exp(1.23*X2) + 85.57,17,0.2757737750408684
56.66*X1 + 39.00*X2 - 54.29*X2/X4 - 14.99*X4 + 13.44*X6 + 85.29,19,0.24195052130838915
0.50*X1*X4 + 29.70*X1 + 61.70*X2*X4 - 41.78*X2 + 6.16*X5 - 13.02*X6 + 46.28,21,0.18154029128597532
32.79*X1*X4 - 36.47*X1*X6 + 15.73*X1 + 30.75*X2 + 33.09*X5*X6 + 3.82*log(X2),22,0.1714965324566841
37.78*X1*X4 - 8.86*X1*X6 - 15.98*X4*X5 + 3.11*X4 + 47.60*X5*X6 - 24.87*X6 + 65.60,24,0.14103675895812118
38.79*X1*X4 - 38.51*X1*X6 + 38.12*X1*log(X2) - 0.50*X4*X5 + 33.75*X5*X6 + 0.95*X5*log(X2) + 37.78,26,0.04722090603452558
33.86*X1*X4 + 45.25*X1*log(X2) - 2.33*X4*X5 + 17.79*X4*X6 + 24.33*X5*log(X2) - 95.75*X6*log(X2) + 37.71,29,0.031318895940913596
31.92*X1*X4 + 41.62*X1*log(X2) + 13.09*X4*X6 - 11.48*X4*log(X5) - 66.90*X6*log(X2) + 40.79*log(X2)*log(X5) + 54.66,31,0.026184162429479935
41.87*X1*X4 + 38.69*X1*log(X2) + 3.60*X4*X5 + 24.96*X4*X6 - 38.65*X4 + 17.29*X5*log(X2) - 106.18*X6*log(X2) + 15.07*log(X2) + 57.48,36,0.023138454774502305
36.19*X1*X4 + 47.26*X1*log(X1) + 0.07*X4*X6 + 7.74*X4*log(X5) - 34.19*X4 - 21.86*X6*log(X1) + 40.36*log(X1)*log(X5) - 66.14*log(X1) + 87.34,37,0.014538233260648384
34.71*X1*X4 + 38.86*X1*log(X2) + 14.47*X4*X6 - 12.99*X4*log(X5) - 14.57*X4 - 60.43*X6*log(X2) + 44.67*log(X2)*log(X5) - 14.84*log(X2) + 73.30,38,0.012928309797171925
12.89*X1*X4 + 95.11*X1*log(X1) - 16.10*X4*X6 - 29.29*X4*log(X5) + 48.57*X4 + 41.93*X6*log(X1) + 44.97*X6 + 113.45*log(X1)*log(X5) - 166.94*log(X1),39,0.00479981989708475
14.30*X1*X4 - 94.40*X1*log(1/X1) - 17.27*X4*X6 - 28.89*X4*log(X5) + 47.11*X4 - 42.16*X6*log(1/X1) + 47.79*X6 - 114.65*log(1/X1)*log(X5) + 168.71*log(1/X1),47,0.0031045065543539433
