equation,complexity,loss
0,0,305217391.3043478
82.65*X3,3,20.284431348109045
0.07*X4 + 116.62,4,11.59226307291794
41.80*X3 + 62.04,5,7.075435018107363
178.25 - 55.10/X3,6,4.766335315249091
51.23*X1 + 35.67*X4 + 0.41,7,3.4653444201752532
42.34*X3 + 60.07 + 0.51/X6,8,3.344466955071015
32.98*X1 + 122.41 - 42.78/X3,9,2.63838520447833
226.52 - 76.65/X3 - 14.42/X2,10,1.4634734151027284
227.61 - 80.18/X3 - 5.72*X4/X2,11,1.4042589394366758
61.17*X3 + 62.97 - 0.46/X6 - 13.41/X2,12,1.1208969167584295
-2.76*X6 + 80.52*log(X3) + 139.18 - 14.86/X2,13,0.7943265845615978
12.04*X1*X6 + 77.58*X1*log(X4) + 36.96*X2 + 42.08,14,0.4756300881062589
13.67*X2 + 95.82*log(X3) + 100.36 + 3.92/X6 - 12.05/X2,17,0.3770244941403556
9.11*X1*X6 + 76.39*X1*log(X4) + 43.31*X2 + 15.26*X5**0.50 + 20.14,19,0.3544916963616068
4.40*X1*X6 + 29.82*X1*log(X4) + 35.56*X2*X3 - 9.40*X2 - 8.99*X3 + 80.61,21,0.29368792535564753
29.61*X1*X4 - 16.29*X1*log(X6) - 38.55*X4*X6 + 39.05*X5 + 82.70*X6*log(X6) + 48.05,23,0.20625034190212463
14.08*X1*X4 - 15.27*X1*X6 + 22.86*X2*X3 - 0.53*X2 + 17.14*X3 - 7.85*X4*X5 + 19.30*X5*X6 + 49.80,27,0.07665733342055073
32.80*X1*X4 - 28.57*X1*log(X1) + 52.10*X2*X3 - 2.69*X3*X4 - 20.70*X3*log(X1) - 5.54*X5 - 0.57*X6 + 16.26,29,0.039025483164957554
60.31*X1*X4 + 2.70*X1*X5 - 50.41*X1*log(X1) - 0.44*X2 + 23.99*X4*log(X2) + 7.99*X6 + 44.29*log(X1)*log(X2) + 30.25,31,0.01788095040698831
-78.18*X1*X4 + 148.59*X1*log(X1) - 26.20*X4*X6 - 28.94*X4*log(X5) + 155.92*X4 - 51.02*X6*log(X1) - 4.54*X6 + 126.38*log(X1)*log(X5),35,0.017230167508169893
30.47*X1*X4 - 4.04*X1*log(X1) + 32.51*X2*X3 - 7.84*X3*X4 + 8.60*X3*log(X1) + 1.59*X4 + 5.32*X5 + 2.60*X6 - 51.20*log(X1) + 30.47,37,0.013524956442826856
64.14*X2*X3 + 0.13*X2*X6 - 24.09*X2*log(X1) + 19.04*X2 - 19.43*X3*log(X2) + 3.50*X5 - 2.40*X6*log(X2) - 12.18*log(X1)*log(X2) - 1.57*log(X2),38,0.009034910116394545
27.29*X1*X4 - 50.02*X1*log(X1) + 8.76*X2 + 13.04*X3*X4 + 24.29*X3*log(X1) + 24.95*X4*log(X2) + 11.21*X5 + 9.26*X6 + 43.84*log(X1)*log(X2) + 27.29,40,0.006363319592568121
40.68*X1*X4 + 4.37*X1*X5 - 49.42*X1*log(X1) - 2.06*X2 + 5.87*X3*X4 + 15.80*X3*log(X1) + 23.59*X4*log(X2) + 11.64*X6 + 47.12*log(X1)*log(X2) + 40.68,41,0.0023434680733738934
