equation,complexity,loss
0,0,292500000.0
82.65*X3,3,9.798685917749859
41.80*X3 + 62.04,5,5.561340047019553
171.75 - 50.74/X3,6,2.97500895760546
51.08*X1 + 35.77*X4 + 0.50,7,2.451870973804113
42.36*X3 + 60.06 + 0.52/X6,8,1.9616931783033946
32.98*X1 + 122.41 - 42.77/X3,9,1.7668965534722858
226.73 - 76.69/X3 - 14.46/X2,10,1.0632913085689744
39.29*X2*X4 + 40.39*X3 + 0.60/(X5*X6),11,0.7947562056698348
60.86*X3 + 63.03 - 0.17/(X5*X6) - 13.40/X2,13,0.7145248141930786
225.48 - 77.52/X3 - 15.50/X2 + 3.38/X1,14,0.585911510624026
230.46 - 91.31/X3 - 21.79*X4/X2 + 42.63/X2,15,0.3924066531100437
137.42*X3**0.50 - 6.86*X4 + 1.92*X6 - 0.21/X6 - 12.62/X2,18,0.2981331983353394
(-24.96*X1 + X2*(38.77*X1*X4 + 25.15*X5 + 6.14*X6 + 51.89) - 0.43)/X2,19,0.24168327497299233
-49.44*X4 + 47.57*X6 + 25.07*log(X1) + 135.75*log(X3) + 92.00 + 15.29/X6,20,0.14394407703121523
7.33*X1*X4 + 55.47*X1*log(X3) - 29.29*X4*log(X3) + 0.83*X5 + 13.19*X6 + 98.53,21,0.1077168997589823
27.01*X1*X3*log(X3) + 3.16*X1*X4 - 42.14*X4*log(X3) + 32.55*X5 + 19.39*X6 + 51.61,23,0.08951658550055717
10.35*X1*X4 + 49.45*X1*log(X3) - 37.64*X4*log(X3) + 10.84*X5 + 17.33*X6 + 30.88*log(X3)**2 + 71.82,28,0.05902677505597978
18.91*X1*X4 - 40.44*X1 + 45.94*X2*X3 - 0.43*X3**2 - 1.35*X3*X5 + 4.44*X5 + 0.79*X6 - 0.48*log(X3) + 67.34,29,0.04752626689296243
70.72*X1**0.50 + 31.50*X2*X3*X5 - 47.40*X2*X5*log(X1) + 19.69*X3**2 - 4.02*X3*log(X1) - 29.34*X3 - 22.91*log(X3),33,0.03928220113429436
73.35*X1**0.50 + 22.60*X1*X4 + 45.94*X2*X3 - 32.28*X2*log(X1) - 0.76*X3**2 - 28.31*X3*log(X1) - 0.33*X5 - 3.00*X6 - 46.40,34,0.03573666169420592
97.10*X1**0.50 + 12.53*X1**2 - 1.88*X1*X3 + 23.45*X2*X3 - 56.64*X2*log(X1) + 0.16*X3**2 - 11.80*X3*log(X1) - 17.17*X4 + 49.54*log(X3),39,0.019784200046685834
102.27*X1**0.50 + 11.72*X1**2 - 0.38*X1*X3 + 22.69*X2*X3 - 57.32*X2*log(X1) - 0.52*X3**2 - 13.22*X3*log(X1) - 19.59*X4 - 52.71*log(1/X3),40,0.01103954658262217
18.63*X1**0.50 + 41.77*X1*X2*X5 + 9.21*X1*X3 - 30.51*X1*X5*X6 - 57.67*X2*X5*log(X1) + 15.39*X3*log(X1) + 34.56*X4 - 8.62*X5*X6*log(X1) - 11.34*log(X3),43,0.0049830271163352514
