equation,complexity,loss
0,0,280800000.0
98.69*X1,3,26.634800215050547
35.56*X1 + 80.33,5,2.3075177995613463
123.33*X1**0.25 - 0.15,6,2.0146179612962665
5.05*X1*exp(0.86*X1) + 88.29,8,1.5983254165669343
(44.49*X1 - 108.18)/(0.41*X1 - 1),9,1.2660091810271843
23.39*log(X1) + 103.08 + 12.17/log(X2),11,1.2149699064848536
138.88 + 38.26/log(X2) - 74.64*X2/X1,12,0.7334307552666988
-65.25*X2**2 + 98.79*X2*exp(0.27*X1) + 80.50,13,0.5444518099475288
-55.68*X2 + 63.49*log(X1) + 157.96 + 19.79/log(X2),14,0.4497982025985568
89.00*log(X1) + 41.20/log(X2) + 367.25*exp(-4.45*X2),15,0.38658764912234256
81.52*X1 - 56.11*X2 - 15.92*log(X1) + 55.54 + 20.29/log(X2),17,0.2840185951946444
59.58*X1 - 49.87*X2 + 82.02 + 21.79/log(X2) - 8.93*X2/X1,18,0.19190918139035984
40.59*X1 - 33.34*X2 + 99.12 + 27.46/log(X2) - 30.90*X2/X1 + 0.55/X1,21,0.15045465811276054
142.03*X1 + 352.48*X2**0.50 - 216.55*X2 - 88.20*log(X1) - 154.54 + 2.68/(X1*log(X2)),23,0.0971248538561889
180.14*X1 + 61.78*X2**0.50 - 118.96*X2 - 163.18*log(X1) + 50.84 - 28.88/X2 - 2.25/(X1*log(X2)),27,0.0861644991536137
67.45*X1**0.50 - 24.10*X1 - 59.35*X2**2 + 82.01*X2*log(X1) + 81.26*X2 + 59.25 + 9.64/(X1*log(X2)),29,0.08504739985490421
111.08*X1**0.50 + 12.51*X1 - 66.43*X2 + 0.39*X2/log(X1) + 49.87 + 17.56/log(X2) + 3.28/(4.18*X2 - 1),30,0.06545929593749601
40.10*X1*X2 + 55.21*X1*exp(-0.76*X1) - 35.14*X2**2 + 87.08 + 18.39/log(X2) - 23.00*X2/X1 + 2.03*X2/(X1*log(X2)),34,0.03607759564220239
((46.56*X1 - 1)*(11.01*X2 - 1.18*log(X1)) + (46.56*X1 - 1)*(46.56*X1*X2 - 21.96*X1*log(X1) + 40.07*X1 - 119.50*X2*log(X2) + 16.48*X2 + 1.11*log(X1)*log(X2))*log(X2) + 380.80*log(X2))/((46.56*X1 - 1)*log(X2)),54,0.032480263664481535
((0.56*X1 - 1)*(9.29*X1*X2 + 9.75*X1 - 13.82*X2*log(X1) + 0.56*log(X1)) + (0.56*X1 - 1)*(0.56*X1**2 - 37.07*X1*log(X1) - 21.70*X1*log(X2) + 84.98*X1 - 21.92*X2 + 15.53*log(X1)*log(X2))*log(X2) + 0.56*log(X2))/((0.56*X1 - 1)*log(X2)),58,0.020147390893214715
