equation,complexity,loss
0,0,305217391.3043478
98.69*X1,3,43.25142772012611
82.33*exp(0.31*X1),5,10.125589310577611
6.44*X1**3 + 97.07,7,9.762253359831771
-21.96*X2 + 98.50*exp(0.32*X1),8,6.8200054774190075
(42.59*X1 - 106.63)/(0.40*X1 - 1),9,4.459442801574039
134.03 + 9.48/(0.43*X1**2 - X1),10,4.315934797806683
55.88*X1 - 0.21*X2*exp(2.08*X2) + 73.37,11,3.879488875644907
67.83*X1 + 336.60*X2*exp(-2.76*X1*X2) + 13.09,13,2.9257653283714733
-32.01*X1*X2 + 94.66*X1 + 0.83*X2/log(X1) + 71.03,14,1.926949950908718
98.19*X1 - 58.55*X2 + 146.93*X2*exp(-0.78*X1*X2) + 34.42,15,0.9600829638602768
52.50*X1 - 0.58*X2*exp(1.71*X2) + 88.75 + 2.26/log(X1),16,0.759506405984353
36.01*X1 + 824.72*X2*exp(-1.50*X2) - 28.83 + 2.18/log(X1),17,0.7364884321091122
71.15*X1 - 44.49*X2 + 343.92*X2*exp(-1.18*X2) + 13.49 - 0.20/(0.82*X2 - 1),20,0.5177868596597451
85.49*X1 - 0.33*X1/(1.84*X1*X2 - 1) + 24.97*X2/(0.11*X1*X2 - 1) + 58.24,21,0.4408336257126201
((1.83*X1*X2 - 1)*(83.93*X1 - 11.79*X2*exp(0.60*X2) + 53.33) - 0.18)/(1.83*X1*X2 - 1),23,0.40998891244530117
33.86*X1*exp(-0.09*X2) - 46.71*X2 + 345.70*X2*exp(-0.80*X2) + 30.06 + 2.14/(0.60*X1*X2 - 1),24,0.3534326213121083
125.02*X1**0.50 - 170.45*X1*exp(-3.91*X2) - 0.05*X2*exp(2.72*X2) + 28.81 - 14.37/(0.80*X1*X2 - 1),27,0.32529454334652086
111.05*X1**0.50 + 0.13*X1 - 78.20*X2 + 331.67*X2*exp(-0.62*X2) - 53.07 - 0.03/(0.64*X1*X2 - 1) + 4.55/X1**2,30,0.15488977013490404
(X1**2*(2.20*X1*X2 - 1)*(88.82*X1**0.50 + 55.27*X1 - 1.46*X2*exp(1.27*X2) - 22.06*X2 - 8.93) + 14.28*X1**2 + 10.41*X1*X2 - 4.74)/(X1**2*(2.20*X1*X2 - 1)),48,0.1348909061491098
(5.58*X1**0.50*X2 + X1**2*(1.12*X1**0.50*X2 - 1)*(108.14*X1**0.50 + 44.84*X1 - 6.49*X2*exp(0.87*X2) + 15.91*X2 - 47.78) - 6.51*X1**2 - 4.98)/(X1**2*(1.12*X1**0.50*X2 - 1)),53,0.12630140701599962
