equation,complexity,loss
0,0,292500000.0
98.69*X1,3,28.319164311641433
82.33*exp(0.31*X1),5,8.67273864694346
136.16 + 3.24/log(X1),7,5.556685162515897
(47.63*X1 - 113.08)/(0.41*X1 - 1),9,3.1128440902228323
109.23*X1 - 82.38*X2 + 43.11*exp(0.55*X2/X1),13,2.104148319913535
110.85*X1 - 62.25*X2 + 399.74*X2*exp(-2.83*X1) + 33.97,15,1.0088269543659907
((0.83*X2 - 1)*(86.84*X1 - 47.00*X2 + 60.72) + 0.28)/(0.83*X2 - 1),16,0.8343357356983182
94.00*X1 - 21.10*X2 + 35.55 - 1.78/(0.81*X2 - 1) - 0.68/(0.49*X1 - 1),19,0.5701990038747868
79.03*X1 + 0.20*X1/(0.49*X1 - 1) - 6.32*X2 + 36.37 - 8.02/(1.98*X1 - 1),21,0.4189590433492081
95.57*X1 - 17.41*X2 + 36.26 + 5.58/(0.18*X1*X2 - 1) - 8.11/(2.01*X1 - 1),22,0.33933442249869367
(10.21*X2*log(X1*X2) + (1.92*X1 - 1)*(97.60*X1 - 33.97*X2*log(X1*X2) + 19.30))/(1.92*X1 - 1),26,0.22943936003507762
(17.13*X2*log(X1*X2) + (1.82*X1 - 1)*(107.81*X1 - 29.49*X2*log(X1*X2) - 20.10*X2 + 20.83))/(1.82*X1 - 1),29,0.16761815828744134
0.40*X1**0.50 + 95.76*X1 + 1.58*X1/(0.47*X1 - 1) - 19.64*log(X2) + 6.15 + 0.64/(0.83*X2 - 1) + 0.60/(0.40*X1 - 1),30,0.11227966091038576
0.48*X1**0.50 + 86.98*X1 - 8.60*X1/(2.11*X1 - 1) - 28.30*X2*log(X2) + 0.08*X2*log(X2)/(0.14*X1 - 1) + 33.18 + 0.59/(0.48*X1 - 1),35,0.07639224160402715
1.26*X1**0.50 + 99.06*X1 - 35.80*X2*log(X1*X2) - 107.24*X2*log(X1*X2)/(4.96*X1 + 1) - 12.36*X2/(0.22*X1 - 1) + 18.72 - 2.66/(1.26*X1 - 1),41,0.07464259122045512
((1.27*X1 - 1)*(127.40*X1**0.50 + 49.25*X1 + 22.94*X2**0.50*log(X1) - 59.75*X2*log(X1) - 51.63*X2 - 19.68*log(X1)*log(X2) + 33.94) - 7.84)/(1.27*X1 - 1),42,0.07383616423190376
