equation,complexity,loss
0,0,292500000.0
504.23*X1,3,39.41182393404588
497.44*exp(0.19*X1),5,9.077521030094255
524.14*exp(0.26*X1 - 0.12*X2),7,6.084254318488256
-60.23*X2 + 536.22*exp(0.22*X1),8,5.99716512166441
(234.35*X1 - 590.08)/(0.40*X1 - 1),9,3.534025384231551
(155.87*X1*X2 - 574.68)/(0.29*X1*X2 - 1),11,3.136191007053012
10.09*X1*exp(-0.15*X2) - 505.75/(0.15*X1 - 1),12,2.734005736978174
453.17*X1 - 227.74*X2 + 537.30*exp(-0.99*X1 + 0.54*X2),13,1.9378469881503568
553.58 - 1.70/(1.11*log(X1) - 1) - 0.40/(0.55*X1 - 1),15,1.4069505802981865
213.88*X1 + 76.46*X2 - 6.28*exp(0.55*X1 + 1.31*X2) + 413.09,16,0.788410700793611
((0.49*X1 - 1)*(178.07*X1 + 17.05*X2 + 439.11) - 1.83)/(0.49*X1 - 1),17,0.7442299468979959
185.50*X1/(0.02*X1 + 1) + 1.69*X2 + 462.25 - 1.69/(0.49*X1 - 1),18,0.6161495861276007
207.19*X1 + 499.16 + 31.99/(2.61*X1*X2 - 1) + 39.07/(0.36*X2 - 1),19,0.4874808675048589
219.84*X1 + 695.89*X2*exp(-1.01*X2) - 1.03*exp(2.09*X2) + 315.07/(0.28*X1*X2 + 1),23,0.3256523317510332
((0.51*X1 - 1)*(441.06*X1 - 156.38*X2*log(X1) - 22.64*X2 - 122.69*log(X1) + 175.78) - 6.68)/(0.51*X1 - 1),26,0.24216174148417358
((0.34*X1*X2 - 1)*(465.85*X1 - 217.08*X2*log(X1) - 52.65*X2 - 113.89*log(X1) + 179.14) + 1.14)/(0.34*X1*X2 - 1),28,0.10962843221304752
656.73*X1**0.50 - 137.42*X1*X2*log(X1)**2 + 11.35*X1 - 49.29*X2**3*log(X1)**2 + 357.24*X2*log(X1)**2 - 40.57*X2 - 45.24*log(X1),39,0.05617259421962831
681.08*X1**0.50 - 126.25*X1*X2*log(X1)**2 + 34.00*X1*log(X1) - 38.78*X1 - 53.31*X2**3*log(X1)**2 + 346.62*X2*log(X1)**2 - 22.57*X2 - 58.18*log(X1),44,0.025925679197060642
640.86*X1**0.50 - 92.66*X1*X2*log(X1)**2 + 7.79*X1*log(X1) - 7.24*X1 - 135.93*X2**2*log(X1)**2*log(X2) + 262.28*X2*log(X1)**2 - 12.82*X2 - 65.66*log(X1),46,0.023842538845647757
