equation,complexity,loss
0,0,280800000.0
24.14*X1,3,36.16164129179188
0.64*X1 + 29.90,4,8.33452678088682
0.61*X2/log(X1) + 32.89,7,5.0316070486917575
(30.48*X1 + 10.24)/(X1 + 0.33),8,3.2552625640736554
(10.73*X1 - 26.79)/(0.40*X1 - 1),9,3.226307451990451
(38.44*X1 - 36.57)/(1.04*X1 - 1),10,2.9673864360498157
3.31*X1 - 10.23*X2 + 41.71 + 0.79/log(X1),12,2.510082782308573
32.30 + 2.50/(0.90*X2 + 1) + 0.47/(0.47*X1 - 1),13,1.8539090337773445
((0.49*X1 - 1)*(7.75*X1 + 4.31*X2 + 15.42) - 0.29)/(0.49*X1 - 1),16,1.1306057709060342
0.92*log(X1) + 38.87 + 0.07/(0.39*X2 - 1) + 1.13/(1.01*X1 - 1),17,1.0741492346190125
10.18*X1 - 17.11*X2 + 25.72 + 3.50/log(X2) - 5.68/(0.14*X1 - 1),19,0.7076320779663925
(-0.79*X1 + (X1 - 0.46)*(29.72*X1**0.25 + 11.36*X1 - 18.12*X2 + 5.66))/(X1 - 0.46),20,0.4878926634679976
16.73*X1 - 1.80*X1/log(X2) - 19.21*X2 + 28.26 + 5.10/log(X2) + 0.39/X2,22,0.4508260041426506
((0.72*X1*X2 - 1)*(-2.79*X1*exp(0.90*X2)*log(X1) + 17.41*X1 + 0.93*X2 + 19.96) - 3.03)/(0.72*X1*X2 - 1),26,0.22560260046583064
((0.72*X1 - 1)*(0.77*X1*log(X1) + 26.48*X1 - 10.32*X2 - 16.92*exp(0.43*X2)*log(X1) + 15.85) + 3.12)/(0.72*X1 - 1),28,0.17710196445256518
50.77*X1*X2 - 33.41*X1*log(X1) - 2.09*X1*log(X2) - 4.24*X2**2 - 69.19*X2*log(X2) - 0.49*log(X1) - 4.89*log(X1)/log(X2),34,0.14688758609715497
30.59*X1**0.50 - 7.08*X1*X2 - 1.77*X1*log(X2) + 0.85*X2**2 - 4.17*X2*log(X2) + 13.47 + 1.67/log(X2) + 1.09/log(X1),35,0.11399968022855984
((1.03*X1 - 1)*(27.28*X1**0.50 + 1.37*X1*log(X1) - 1.62*X2 - 3.08*exp(1.06*X2)*log(X1) - 1.83*log(X1) + 12.35) + 0.50)/(1.03*X1 - 1),37,0.08373008068404211
((1.01*X1 - 1)*(24.50*X1**0.50 + 7.92*X1 - 2.89*X2*log(X1)**2 - 15.71*X2*log(X1) - 7.57*X2 + 0.53*log(X1)**2 + 15.59) + 0.97)/(1.01*X1 - 1),40,0.058342148834338
