Complexity,Loss,Equation
1,0.6332044180737096,"x₁"
2,0.37079471678746684,"-1.9740810254321453"
4,0.25023963208828737,"-2.3135499241560322 + x₁"
6,0.20183456416381088,"(-3.0253233955362986 - x₅) - x₄"
8,0.18396482847454598,"(x₁ - (x₅ + 3.9622857482835663)) - x₄"
9,0.17626063448751214,"x₁ - square(-2.2637907095898204 + x₁)"
10,0.14067287105738463,"damping(-1.1781318315681282, x₁) - 2.4062004708429847"
11,0.11921943239717418,"-102.51240021294907 * threshold(x₄, -0.9600894767831556)"
12,3.147948934409248e-19,"852.3308945009517 * (((x₁ - x₃) - x₅) + -1.4109365969558816)"
15,1.6356384601079505e-28,"(((x₁ - x₃) - x₅) + (0.010407847030248695 - 1.4088320070590614)) * 1187.8121715745654"
17,0.0,"(((x₁ - x₃) - x₅) + -1.4022509454357421) * square(171.2522224349208 - x₄)"
