run,equation,complexity,train,test,skeleton,loo_tss
1,-2.1972245803691792,1,0.0,0.0,C,0.0
1,-2.3780291318980527**D,3,0.0,0.0,C**D,0.3148936170212766
1,-D*T + 2.931878147428844,3,0.195945945945946,0.0,-D*T + C,0.3148936170212766
1,H**3.372579810332996 - exp(P),5,0.25,0.0,H**C - exp(P),0.5787234042553191
1,6.535933231735345*H - P*T,4,0.25,0.0,C*H - P*T,0.37872340425531914
1,7.751992450145715*H - P*T - P,5,0.25,0.0,C*H - P*T - P,0.5787234042553191
1,T*(H - 0.8577304378904613*P)*exp(D),6,0.5,0.0,T*(H - C*P)*exp(D),0.5787234042553191
1,-4.607281129618732**(P*T) + H**(T**2),9,1.0,1.0,C**(P*T) + H**(T**C),0.8297872340425532
2,-2.1972246018058925,1,0.0,0.0,C,0.0
2,-2.2936647488945656**D,3,0.0,0.0,C**D,0.3148936170212766
2,-D**2064.6458498526313,3,0.810810810810811,0.7,-D**C,0.7659574468085106
2,-3.291982420440921**D + Sl,4,0.472972972972973,-0.3,C**D + Sl,0.3148936170212766
2,-23.907562788103476**D/Sl + T,6,0.945945945945946,-0.3,C**D/Sl + T,0.6936170212765957
2,-D**Sl + Sl - exp(D),6,0.472972972972973,-0.3,-D**Sl + Sl - exp(D),0.3148936170212766
2,-4.529148898641963*D**(H*Sl**2),7,0.0,0.0,C*D**(H*Sl**C),0.3148936170212766
2,-D*T + H - P*T + 24.12661253229221,6,0.75,1.0,-D*T + H - P*T + C,0.6000000000000001
3,-2.2512918134523154,1,0.0,0.0,C,0.0
3,-2.4088729298160456*D,2,0.0,0.0,C*D,0.3148936170212766
3,-12.2614621862995*D**T,4,0.0,0.0,C*D**T,0.472340425531915
3,-D*P*T + 13.38747918066469,5,0.4210526315789473,-0.1111111111111111,-D*P*T + C,0.3148936170212766
3,3.451107627546504**H - D*exp(P),6,0.7236842105263159,1.0,C**H - D*exp(P),0.7787234042553193
4,-2.2512917905680667,1,0.0,0.0,C,0.0
4,-1.1236174529090197**T,3,0.0,0.0,C**T,0.35744680851063837
4,H - 4.002077986979285,2,0.0,0.0,H - C,0.15744680851063841
4,-4.917071699144912*D + H,3,0.2236842105263159,0.8888888888888888,C*D + H,0.3361702127659574
4,H**3.5906155459982974 - exp(P),5,0.973684210526316,0.8888888888888888,H**C - exp(P),0.5787234042553191
4,H*exp(H) - exp(1.054485416373704*P),6,0.9473684210526314,0.8888888888888888,H*exp(H) - exp(C*P),0.6000000000000001
4,-P*T*(D - H + P - 1.4348922494333018),7,1.0,0.8888888888888888,-P*T*(D - H + P - C),0.7787234042553193
5,-2.2512918190586393,1,0.0,0.0,C,0.0
5,-2.3432588098666813*D,2,0.0,0.0,C*D,0.3148936170212766
5,0.7286288651852572 - exp(D),3,0.0,0.0,C - exp(D),0.3148936170212766
5,9.369043919284676*H - 9.369043919284676*P,4,0.25,0.0,C*H - C*P,0.5574468085106383
5,9.369043893054233*H - 9.369043893054233*P,4,0.25,0.0,C*H - C*P,0.5574468085106383
5,13.809308463665843**D*(H - P),5,0.25,0.0,C**D*(H - P),-0.5574468085106383
5,P*T*(H - P**0.921203851118097),7,0.75,0.0,P*T*(H - P**C),0.5787234042553191
5,exp(H) - 0.4164168765583276*exp(D + P),6,0.75,1.0,exp(H) - C*exp(D + P),0.8
5,H**8.544783123155149 - (Sl + 2*T)**P,8,1.0,0.8888888888888888,H**C - (Sl + C*T)**P,0.02127659574468077
