run,equation,complexity,train,test,skeleton,loo_r2
4,"-cond(T - 7.3734784, H) + inv(0.23600267*D)",7,0.3129893427581677,0.2704635505977185,"-cond(T - C, H) + inv(C*D)",0.5358130596134576
4,"-cond(T - 7.3775644, P) + 6.8210263*inv(D + 0.31760946)",8,0.3317058503460263,0.2869124366435527,"-cond(T - C, P) + C*inv(D + C)",0.4198906199089527
4,"-cond(T - 7.371427, P + 1.2199482) + 11.719606*inv(D + 0.8412856)",9,0.3360170274274237,0.2837290981007947,"-cond(T - C, P + C) + C*inv(D + C)",0.5301718932384134
4,"(H + 5.5639677)*inv(D + 0.14692436*P) - cond(T - 7.375762, P)",10,0.3382039976039102,0.2988242064243762,"(H + C)*inv(D + C*P) - cond(T - C, P)",0.40188729531175604
4,"(cond(P - Sl, H) + 6.239149)*inv(D + 0.5180003) - cond(T - 7.373118, P)",12,0.3494104799937966,0.324546450661344,"(cond(P - Sl, H) + C)*inv(D + C) - cond(T - C, P)",0.43130493773458034
5,P,1,0.1118119101400583,0.2529961872269342,P,0.26041981024019667
5,exp(inv(D)),3,0.263183801642302,0.331137932295283,exp(inv(D)),0.5247865150508889
5,exp(inv(D)) - 0.29568732,4,0.270358810439788,0.3773966731722167,exp(inv(D)) - C,0.5200830544845594
5,(2.7500129 - D)**H,4,0.2826146720344149,0.3285095103679102,(C - D)**H,0.5417773112709949
5,-H*(D - H) + 1.7885598,4,0.3030603855565086,0.3173508864858468,-H*(D - H) + C,0.5887066420613134
5,"H*cond(1.1586809 - D, H) + 1.2110076",6,0.3092567066963884,0.2598951298230804,"H*cond(C - D, H) + C",0.49956511929040837
5,"-H*(D - cond(Sl - 0.06325394, H)) + 1.790182",7,0.325346803157566,0.3171019802761814,"-H*(D - cond(Sl - C, H)) + C",0.5887066420613134
5,"cond(1.1713265 - D, H)*cond(2.8090599 - Sl, H) + 1.2367878",9,0.3333648968373545,0.2576344920363543,"cond(C - D, H)*cond(C - Sl, H) + C",0.4250870367088354
5,"D - H*(cond(D - 1.1828753, D) - cond(Sl - 0.064396106, H))",10,0.3472715531730235,0.2807082951999713,"D - H*(cond(D - C, D) - cond(Sl - C, H))",0.6106585632048556
5,"cond(1.2530972 - D, H)*cond(Sl - 0.060070626, H) + cond(1.5086797 - Sl, 1.278856)",12,0.3483501290479489,0.2893876055081851,"cond(C - D, H)*cond(Sl - C, H) + cond(C - Sl, C)",-1.7263814890192228
5,"D + (H - cond(D - 1.2539505, Sl + 0.7863801))*cond(Sl - 0.060372736, H)",11,0.3554121012174706,0.2644772459307064,"D + (H - cond(D - C, Sl + C))*cond(Sl - C, H)",-0.1851526059563704
5,"-(cond(D - 0.7613692, D) - cond(Sl - 0.14605492, H))*cond(2.5957928 - Sl, H) + 1.8183424",13,0.3675317656592068,0.3060151241922473,"-(cond(D - C, D) - cond(Sl - C, H))*cond(C - Sl, H) + C",0.5752593081323504
