equation,complexity,loss
0,0,292500000.0
98.69*X1,3,44.81776096591728
35.56*X1 + 80.33,5,10.319735401095125
91.27*exp(0.44*X1 - 0.23*X2),7,7.294466315088659
(42.68*X1 - 106.39)/(0.41*X1 - 1),9,4.528273962615674
37.40*X1 + 619.48*X2*exp(-1.48*X2) - 13.57,12,4.402125968060032
111.19*X1 - 81.86*X2 + 40.07*exp(0.57*X2/X1),13,3.1005237595916295
52.60*X1 - 0.44*X2*exp(1.33*X1) - 21.59*X2 + 91.10,14,2.4757664055865973
((0.40*X1 - 1)*(-5.18*X1 - 0.20*X2 + 105.16) - 3.84)/(0.40*X1 - 1),16,1.6430943325959266
129.87*X1 - 87.68*X2*log(X1) - 16.69*X2 + 24.38 + 2.66/log(X1),18,1.4062222437048915
-67.66*X2*log(X1) - 17.90*X2 + 105.55*log(X1) + 187.80 + 4.57/log(X1),19,1.2934344176369368
(21.11*X2 + (54.82*X1 - 61.94*X2 + 71.15)*log(X2) + 4.34*log(X1))/log(X2),20,1.1204936359812325
-19.89*X2*log(X1*X2) - 65.93*X2 + 53.96*log(X1*X2) + 247.39 + 3.87/log(X1),21,0.97410214981015
53.65*X1*log(X2) + 140.23*X1 - 98.16*X2*log(X1) - 77.93*X2 + 71.56 + 1.44/log(X1),23,0.4033054127633074
45.78*X1*log(X2) + 103.62*X1 - 84.96*X2*log(X2) + 7.64*X2 - 26.08*log(X1)*log(X2) - 73.44*log(X1) + 36.49 + 0.98/log(X1),32,0.2047724372048252
17.94*X1*log(X2) + 107.02*X1 - 96.99*X2*log(X2) + 52.93*X2 - 16.48*log(X1)*log(X2) - 71.90*log(X1) - 12.78 + 1.31/log(X1),33,0.15676796989770478
170.15*X1**0.50*log(X2) + 219.21*X1**0.50 - 76.47*X1*log(X2) + 66.18*X1 - 133.53*X2 - 19.75*log(X1)*log(X2) - 132.37*log(X1) + 0.36 + 1.41/log(X1),39,0.0653453999441503
107.31*X1 - 20.49*X2**2*log(X1*X2) + 26.50*X2*log(X1)*log(X1*X2) + 10.14*X2 + 1.09*X2*log(X1*X2)/log(X1) - 57.62*log(X1) + 6.86*log(X1*X2) + 0.89 + 1.05*log(X1)/X2,47,0.05201845748334615
71.43*X1 - 21.66*X2**2*log(X1*X2) - 0.09*X2**2 + 42.98*X2*log(X1)*log(X1*X2) + 6.58*X2*log(X1) - 20.92*X2 + 0.29*X2*log(X1*X2)/log(X1) - 44.56*log(X1) + 24.61*log(X1*X2) + 71.43,50,0.02967631126281828
72.18*X1 - 22.31*X2**2*log(X1*X2) + 1.80*X2**2 + 39.54*X2*log(X1)*log(X1*X2) + 10.89*X2*log(X1) - 22.98*X2 + 0.54*X2*log(X1*X2)/log(X1) - 50.69*log(X1) + 26.28*log(X1*X2) + 72.18,51,0.029253152682525135
60.01*X1 - 17.57*X2**2*log(X1*X2) + 32.05*X2*log(X1)*log(X1*X2) - 29.33*X2*log(X2) + 11.69*X2 + 1.21*X2*log(X1*X2)/log(X1) + 9.56*log(X1)*log(X2) - 28.59*log(X1) + 23.45*log(X1*X2) + 60.01,53,0.01786121177703743
