equation,complexity,loss
0,0,292500000.0
98.69*X1,3,29.4880311457724
82.33*exp(0.31*X1),5,2.8051437776550423
72.64*exp(X1*(0.75 - 0.23*X2)),7,1.5263614143349382
56.26*X1 - 0.25*exp(2.38*X2) + 74.15,10,1.090304060515803
50.69*X1 - 130.72*X2 + 80.87*log(X2) + 236.97,12,0.8349417655629692
52.46*X1 - 104.75*X2*log(X2) + 79.17*X2 + 20.16,13,0.7149888008966491
33.05*X2 + 74.46*exp(0.42*X1) - 4.48*exp(1.45*X2),14,0.697045187963087
90.67*X1 - 27.65*X2**2 + 29.52 + 36.43*X2/X1,15,0.47741094334330786
152.49*X1 - 146.00*X2 - 113.89*log(X1) + 100.55*log(X2) + 131.84,16,0.37439781388659027
(X1*(99.78*X1 - 34.27) - 81.72*X2**2 + 138.37*X2 + 11.70)/X1,18,0.30191004179612785
(X1*(-70.48*X2**2 + 165.71*X2*log(X1) + 85.56) + 124.45*X2 - 9.34)/X1,20,0.2146777634323885
-70.08*X2**2 + 162.17*X2*log(X1) + 10.86*log(X2) + 90.40 + 112.26*X2/X1,21,0.14496556082835554
112.31*X1 - 34.68*X2**2 + 43.16*X2 - 64.77 + 69.16/X1 - 4.38/(X1*X2),22,0.13138488862409528
(X1*(65.86*X1*X2 - 152.68*X2*log(X2) + 24.04*X2 + 20.19) + 15.49*log(X2) + 36.82)/X1,23,0.11130810114374227
91.37*X1 - 23.97*X2**2 + 13.64*X2 + 17.78 + 8.18/(X1*log(X2)) + 2.09/(X1*X2),24,0.10031720880701848
91.63*X1 - 26.38*X2**2 + 19.17*X2 + 22.66 - 11.43*log(X1)/X1 + 6.00/(X1*log(X2)),25,0.0964322459250615
118.73*X1 - 41.94*X2**2 + 55.13*X2 - 13.85*log(X1)/log(X2) - 11.55 - 17.96*log(X1)/X1,26,0.08340365049473926
21.74*X1*X2 + 54.56*X1 - 37.61*X2**2 + 19.86*X2 + 51.30 + 6.90/(X1*log(X2)) + 0.97/(X1*X2),27,0.06981338526533772
29.94*X1*X2 + 47.86*X1 - 45.72*X2**2 + 29.17*X2 + 42.21 + 5.16*X2/(X1*log(X2)) + 7.50/X1,28,0.06877040384976305
29.24*X1*X2 + 43.09*X1 - 43.32*X2**2 + 26.30*X2 + 57.66 - 2.90*log(X2)/X1 + 6.76/(X1*log(X2)),29,0.061317027488449916
24.99*X1*X2 + 54.43*X1 - 54.43*X2**2 + 65.45*X2 + 33.23 - 10.03*log(X1)/X1 - 5.20*log(X1)/(X1*log(X2)),31,0.05646242518339964
(X1*X2*(49.97*X1*X2 - 31.74*X2**2 - 2.10*X2 + 124.50) - 14.52*X1 + X2*(-59.18*X2**2 + 76.29*X2 + 15.88) - 0.30)/(X1*X2),34,0.04797907499729532
22.89*X1*X2 + 68.68*X1 - 41.78*X2**2 + 42.63*X2 - 11.72*log(X1) + 2.34*log(X1)/log(X2) + 25.62 - 35.86*X2*log(X1)/X1,35,0.02454158033041032
51.24*X1 - 2.02*X1/log(X2) - 29.09*X2**2 + 29.34*X2 + 13.18*X2/log(X2) + 70.87 + 2.92/log(X1) - 10.10*X2/X1 - 0.83*X2/(X1*log(X1)),41,0.02237428469900966
30.77*X1*X2 + 63.72*X1 - 4.84*X1/log(X2) - 40.49*X2**2 + 15.00*X2/log(X2) - 23.96*log(X1) + 34.51 + 1.13*X2*log(X1)/X1 + 6.07*X2/X1,42,0.020354016769744483
-0.97*X1*X2 + 48.37*X1 + 0.32*X1/log(X2) - 24.66*X2**2 + 20.35*X2 + 12.13*X2/log(X2) + 71.02 + 2.16/log(X1) - 7.47*X2/X1 - 0.48*X2/(X1*log(X1)),43,0.015445579830572804
20.24*X1*X2 + 60.87*X1 + 3.16*X1/log(X2) - 32.54*X2**2 - 38.13*X2*log(X1) + 17.26*X2 + 54.35*log(X1) - 11.32*log(X1)/log(X2) + 48.42 + 20.24*log(X1)**2/X1,47,0.009349504916649836
45.53*X1*X2 + 33.00*X1 + 6.72*X1/log(X2) - 137.71*X2*log(X2) + 29.72*X2 - 18.90*log(X1)/log(X2) + 6.35*log(X2) - 4.89 - 0.68/log(X1) + 22.76*X2*log(X1)/X1 + 22.76/X1,49,0.00783552740330601
5.44*X1*X2 + 68.00*X1 + 4.19*X1/log(X2) - 14.66*X2**2 - 69.85*X2*log(X1) + 25.56*X2 + 7.66*log(X1)/log(X2) + 50.34 + 3.31/log(X1) + 5.44*log(X1)/X1 + 5.44/X1,50,0.0018386751248254535
