equation,complexity,loss
0,0,292500000.0
98.69*X1,3,39.7058373100519
35.56*X1 + 80.33,5,9.379508105990356
-21.66*X2 + 98.23*exp(0.32*X1),8,6.394585818175018
(42.77*X1 - 106.67)/(0.41*X1 - 1),9,3.5391237187691877
127.26*X1 - 107.90*X2 + 18.20 + 71.84*X2/X1,13,3.1843688264913097
97.12*X1 - 49.38*X2 + 569.12*X2*exp(-3.83*X1) + 40.18,15,1.7549169208207418
126.63*X1 - 67.17*X2 + 97.75*exp(-3.41*X1 + 1.66*X2) + 8.65,17,1.3082304475938642
((2.21*X1 - 1)*(85.26*X1 - 44.80*X2 + 60.31) - 0.74)/(2.21*X1 - 1),18,1.1734597370948767
58.03*X1 - 18.15*X2**2 + 0.58*X2/log(X1) + 68.53 + 13.95/log(X2),20,0.7673333835547359
90.88*X1 - 37.28*X1/X2 - 113.95*X2 + 23.99*log(X1) + 198.22 + 6.02/(X1*log(X2)),23,0.5763987196962418
90.55*X1 - 67.49*X2 + 180.29*X2*exp(-0.72*X2) + 105.80*exp(-2.50*X1) + 4.25/(X1*log(X2)),24,0.4596134544796826
97.84*X1 + 4.62*X2 + 130.07*X2*exp(-5.04*X2) - 3.20*exp(1.46*X2) + 124.77*exp(-2.53*X1) + 5.60/(X1*log(X2)),31,0.3290737287453109
(X1**2*X2**3*(0.64 - 1.34*X1) - 2.78*X1*X2**3*(X1 - 0.33) + (X1 - 0.48)*(X1 - 0.33)*(110.32*X1**0.50 + 28.83*X1 - 16.67))/((X1 - 0.48)*(X1 - 0.33)),37,0.3067088052051874
121.97*X1**0.50 + 63.48*X1*log(X1) - 14.58*X1/X2 - 68.16*X2*log(X1) - 46.20*X2 - 4.69*log(X1) + 75.60 + 1.55/log(X1) - 1.33/X2,38,0.1499525176911705
