equation,complexity,loss
0,0,280800000.0
504.23*X1,3,48.23564906704054
122.27*X1 + 486.00,5,9.235771478450495
-60.39*X2 + 536.16*exp(0.22*X1),8,6.495191690540477
(255.42*X1 - 615.19)/(0.41*X1 - 1),9,3.853080214340328
159.72*X1 - 52.06*X2 + 496.27 - 0.45/log(X1),12,3.457953372059781
313.96*X1 - 242.27*X2 + 370.11 + 156.99*X2/X1,13,3.344753908579825
374.32*X1 - 48.80*X2*exp(0.85*X1) + 64.14*X2 + 358.63,14,1.8878163519194584
279.65*X1 + 54.46*X2 - 9.88*exp(0.88*X1 + 0.90*X2) + 399.76,15,1.5987847333531748
((0.41*X2 - 1)*(167.61*X1 + 27.48*X2 + 425.03) - 10.26)/(0.41*X2 - 1),17,1.325298158578456
401.43*X1 + 26.09*X2 - 280.21 + 818.78*exp(-0.51*X1) + 12.06/(0.38*X2 - 1),19,1.1649347223676
(54.48*X2 + (127.55*X1 - 139.99*X2 + 491.10)*log(X2) + 24.46*log(X1))/log(X2),20,1.0786924206119217
559.15*X1/(0.19*X1 + 1) + 21.17*X2 - 190.42*log(X1) + 125.76 - 5.06/(0.49*X1 - 1),22,0.5594445159195895
((1.72*X2 - 1)*(704.94*X1**0.50 - 127.34*X1 - 304.67*X2 + 67.07*log(X2) + 438.85) + 123.39)/(1.72*X2 - 1),28,0.43296517782772775
((0.89*X2 - 1)*(474.03*X1**0.50 - 72.19*X1*X2*log(X2) + 11.75*X1 - 5.14*X2*log(X2) + 173.46) + 8.99)/(0.89*X2 - 1),30,0.3958580828241241
73.26*X1*X2 + 154.29*X1 - 189.49*X2**2 + 255.11*X2 + 307.04 + 4.32/log(X1*X2) + 43.05*X2/X1 + 27.63/X1,32,0.23275112364478223
115.59*X1*X2 + 64.94*X1 - 241.41*X2**2 + 379.85*X2 - 11.81*log(X1)/log(X2) + 380.95 - 17.50*X2/X1 + 15.96/X1,33,0.15754922413099418
115.54*X1*X2 + 132.98*X1 - 263.87*X2**2 + 384.30*X2 - 22.38*log(X1)/log(X2) + 340.14 - 37.85/log(X2) + 57.23*X2/X1 + 6.33/X1,38,0.10156660763004713
141.88*X1*X2 + 154.47*X1 - 35.02*X1/log(X2) - 296.08*X2**2 + 415.00*X2 + 2.60*log(X1)/log(X2) + 300.26 + 55.10*X2/X1 + 15.26/X1,39,0.080154797759929
164.90*X1*X2 + 72.72*X1 - 39.34*X2**0.50*log(X1)/log(X2) - 40.15*X2**0.50/log(X2) - 314.86*X2**2 + 486.63*X2 + 406.33 + 5.32*X2/X1 - 5.88/X1,44,0.05051201510642964
