equation,complexity,loss
0,0,305217391.3043478
98.69*X1,3,45.817377708933165
35.56*X1 + 80.33,5,10.928072695872936
-21.78*X2 + 98.31*exp(0.32*X1),8,7.656526731953591
(44.87*X1 - 109.23)/(0.41*X1 - 1),9,4.835107146244702
64.64*X1 - 5.23*X2*exp(0.42*X1*X2) + 71.96,12,3.06090752933895
84.46*X1 - 56.84*X2 + 70.47 + 8.83/(X1*log(X2)),14,2.5148585124143126
107.64*X1 - 61.17*X2 + 172.95*X2*exp(-0.87*X1*X2) + 22.13,15,1.6463207534256554
108.10*X1 + 9.48*X2 - 0.87*exp(X2*(0.64*X1 + 0.63)) - 58.10*log(X1),16,1.616595756676961
117.60*X1 - 56.25*X2 + 115.85*exp(-3.08*X1 + 1.36*X2) + 5.35,17,1.4090859514806227
65.61*X1 - 57.66*X2 + 76.51 + 2.34/log(X1*X2) + 20.18/log(X2),19,1.023589156388136
133.87*X1 - 111.83*X2 + 18.02 - 1.75/(1.22*X1 - 1) + 74.47*X2/X1,20,0.9279395335735224
117.35*X1**0.50 + 72.05*X1 - 81.85*X2*log(X1) - 19.46*X2 + 1.48*X2/log(X1) - 30.01,24,0.8668124559059883
89.03*X1 - 10.57*X2**2 + 390.58*X2*exp(-8.66*X1**2) + 0.17*X2/(0.48*X1 - 1) + 29.45,25,0.6904394369778285
16.54*X1*log(X1) + 122.96*X1 - 91.61*X2*log(X1) - 14.13*X2 + 0.55*X2/log(X1) + 30.51*log(X1)**2,27,0.341998585760285
40.93*X1*log(X1) + 114.09*X1 - 114.47*X2*log(X1) - 5.12*X2 + 0.86*X2/log(X1) + 19.27*log(X1)*log(X2) + 2.57,29,0.24365480761301156
-19.28*X1*log(X1) + 154.03*X1 - 77.38*X2*log(X1) - 44.12*X2 + 0.45*X2/log(X1) + 49.39*log(X1)**2 + 22.80*log(X2) + 5.72,33,0.06886188100888009
0.95*X1*log(X1) + 132.65*X1 - 14.12*X2**2 - 87.58*X2*log(X1) + 1.25*X2/log(X1) + 29.02*log(X1)*log(X2) + 25.29*log(X2) + 15.01,35,0.059581464316739184
-32.48*X1*log(X1) + 158.48*X1 - 20.43*X2**2 - 72.65*X2*log(X1) + 1.43*X2/log(X1) + 33.53*log(X1)*log(X2) + 37.81*log(X2) + 8.54,36,0.056119702411334134
3.78*X1*log(X1) + 113.11*X1 - 27.33*X2**2 - 71.52*X2*log(X1) + 49.05*X2 + 1.31*X2/log(X1) + 22.55*log(X1)*log(X2) + 9.34*log(X2),37,0.047557056394591936
-44.25*X1*log(X1) + 156.62*X1 - 24.62*X2**2 - 54.06*X2*log(X1) + 36.39*X2 + 0.89*X2/log(X1) + 48.58*log(X1)**2 + 6.95*log(X2) - 40.71,38,0.025090885621574598
-16.38*X1*log(X1) + 162.17*X1 - 10.97*X2**2 + 0.79*X2**2/log(X1) - 95.81*X2*log(X1) - 19.30*X2 + 37.21*log(X1)*log(X2) + 36.69*log(X2) + 4.99,40,0.017486540526427338
(68.33*X1 + (66.36*X1 - 1)*(66.36*X1*X2 + 8.24*X1*log(X1) + 32.61*X1 - 46.09*X2**2 - 75.26*X2*log(X1) + 1.88*log(X1)*log(X2) + 11.63*log(X2) + 81.23)*log(X1) + 66.36*log(X1) - 1.03)/((66.36*X1 - 1)*log(X1)),56,0.01069434541834827
