equation,complexity,loss
0,0,292500000.0
98.69*X1,3,33.40953636753627
35.56*X1 + 80.33,5,3.4738866767844265
70.39*X1**0.50 + 50.23,7,3.2874158988664703
88.88*X1*exp(-0.44*X2) + 65.27,8,2.7589488959739854
-32.09*X1*X2 + 97.75*X1 + 64.28,9,2.22169665344743
141.79*X1**0.25 - 0.58*exp(1.96*X2),10,1.7295709948515234
50.73*X1 - 131.13*X2 + 81.12*log(X2) + 237.54,12,1.4950886078194696
65.68*X1 - 55.61*X2 + 75.39 + 19.71/log(X2),13,1.090419842313699
-55.75*X2 + 63.59*log(X1) + 158.05 + 19.82/log(X2),14,0.6894133194955513
86.63*X1 - 55.26*X2 - 21.57*log(X1) + 48.64 + 19.99/log(X2),17,0.5370809965573057
69.06*X1*X2 - 165.44*X2*log(X2) + 22.49*X2 + 18.97 + 33.67*X2/X1,19,0.4183458519021172
(X1*(120.54*X1 - 19.89*X2**2 - 28.83*X2 - 22.69) + 45.40*X2 + 17.28)/X1,21,0.21377658573320268
(X1*(57.97*X1*X2 + 24.66*X1 - 64.58*X2**2 + 21.72*X2 + 48.40) + 36.27*X2 + 3.36)/X1,25,0.12862824621774172
(X1*(4.06*X1*X2**2 + 68.75*X1*X2 - 77.35*X2**2 + 19.10*X2 + 75.51) + 43.53*X2 - 4.30)/X1,28,0.12801485112633498
(X1*(47.44*X1*X2 + 31.23*X1 - 132.81*X2*log(X2) + 5.13*X2 + 21.04*log(X2) + 20.76) + 20.87*X2 + 17.10)/X1,29,0.11821112657852345
59.10*X1*X2 - 154.63*X2*log(X2) + 36.47*X2 + 43.94 - 2.83*X2/X1 + 17.13*log(X2)/X1 + 10.73/X1**2,31,0.08245350761608226
(X1*(50.86*X1*X2 + 32.63*X1 - 24.75*X2**2 - 85.07*X2*log(X2) + 27.26*X2 + 3.74) + 21.18*X2 + 6.25*log(X2) + 23.95)/X1,34,0.07164761667065275
24.02*X1*X2 + 31.30*X1 - 41.21*X2**2 + 40.84*X2 + 7.10*X2/log(X2) + 61.45 - 23.85*X2/X1 + 8.31/X1 + 5.17/(X1*log(X2)),38,0.04740727042396858
