equation,complexity,loss
0,0,292500000.0
98.69*X1,3,40.896255744128545
82.33*exp(0.31*X1),5,9.595703972550519
6.45*X1**3 + 97.12,7,9.318845175641284
-21.80*X2 + 98.33*exp(0.32*X1),8,6.556190148213616
(44.48*X1 - 107.99)/(0.41*X1 - 1),9,4.2050035252795395
(44.96*X1*X2 - 103.88)/(0.39*X1*X2 - 1),11,3.7649955323055266
44.84*X1 + 32.82/(1 - 0.60*exp(-0.09*X1*X2)),12,3.5576686379781584
127.11*X1 - 107.77*X2 + 18.26 + 71.80*X2/X1,13,3.1813932050298717
8.99*X1 + 0.01*X2*exp(3.58*X1) - 13.75*X2 + 110.82,14,1.980758821478384
92.39*X1 - 57.73*X2 + 126.75*X2*exp(-0.68*X1*X2) + 39.90,15,1.231776845930603
((0.99*X2 - 1)*(76.05*X1 - 66.27*X2 + 82.86) + 20.25)/(0.99*X2 - 1),17,0.7025747603560996
70.46*X1 - 103.04*X2 + 46.01*log(X2) + 164.57 + 2.06/(X1**2*log(X2)),20,0.6575749769247973
53.68*X1 - 38.82*X2**2 + 49.94*X2 - 36.65*exp(-0.19*X1) - 96.02/(0.08*X2 - 1),22,0.6029588961228507
(8.22*X2 + (0.93*X2 - 1)*(62.99*X1 - 19.00*X2**2 + 2.79*X2 + 56.43))/(0.93*X2 - 1),23,0.46697376234117205
40.40*X1 - 150.80*X2*log(X2) + 142.18*X2 + 1.49*X2/log(X1) + 13.63*log(X1)*log(X2) - 18.13,25,0.33193279372149015
75.66*X1 - 6.14*X2**3 + 0.17*X2**2*exp(2.37/X1) - 11.95*X2 + 50.39 + 5.55/log(X2),27,0.2525851779620908
133.00*X1 - 100.10*X2*log(X1) - 17.73*X2 - 3.56*X2/log(X1) + 24.87*log(X1) + 22.31 + 8.41/log(X1) + 4.89/X2,32,0.24213113970144687
11.09*X1*X2**3 + 42.19*X1 - 10.70*X2**4 + 0.80*X2**3*exp(1.41/X1) - 15.76*X2 + 74.18 + 8.75/log(X2),33,0.12089697360342523
14.41*X1*X2**3 + 45.75*X1 - 14.20*X2**4 + 2.52*X2**3*exp(1.16/X1) - 22.98*X2 + 72.37 + 6.60/log(X2),34,0.10324291376427219
(2.70*X1 - 0.57*X2 + (29.76*X1*log(X1) + 10.15*X1*log(X2) + 46.04*X1 - 37.10*X2*log(X1) - 70.18*X2*log(X2) + 38.02*X2 + 59.02)*log(X1))/log(X1),38,0.09603743170124435
(0.49*X1 + (1.75*X1*X2 + 5.80*X1*log(X1) + 109.57*X1 - 72.90*X2*log(X2) + 34.39*X2 - 24.34*log(X1)*log(X2) - 78.40*log(X1))*log(X1) - 1.87*log(X2) + 1.75)/log(X1),43,0.016374464979016935
(-3.99*X1 + (3.29*X1*X2 - 6.36*X1*log(X1) + 120.17*X1 - 74.23*X2*log(X2) + 32.06*X2 - 24.15*log(X1)*log(X2) - 74.02*log(X1))*log(X1) - 2.20*log(X2) + 6.59)/log(X1),44,0.012333930174262807
