equation,complexity,loss
0,0,280800000.0
98.69*X1,3,37.58669582949207
35.56*X1 + 80.33,5,8.879532629317753
-21.81*X2 + 98.36*exp(0.32*X1),8,6.158243426168349
(45.74*X1 - 109.05)/(0.41*X1 - 1),9,3.1965654212152415
140.00 + 2.94/log(X1) + 5.18/(0.43*X1 - 1),13,2.6177706408399706
84.39*X1 - 56.76*X2 + 70.42 + 8.84/(X1*log(X2)),14,1.7947953725388004
103.08*X1 - 54.92*X2 - 17.85*log(X1)/log(X2) + 66.65,15,1.236339972514436
24.42*X1 + 565.07*X2*exp(-1.48*X2) - 1.91/(0.40*X1 - 1),16,1.0479467930436606
-121.43/(0.18*X1 - 1) - 61.58*X2/X1 + 15.49/(X1*log(X2)),17,0.6839022008442339
70.30*X1 - 102.37*X2 + 45.56*log(X2) + 163.70 + 2.07/(X1**2*log(X2)),20,0.6598366102647398
70.37*X1*exp(0.16*X1) - 21.66*X2*exp(0.42*X1) - 15.94*X2 + 60.85 + 8.22/(X1*log(X2)),23,0.32453599026014324
2.67*X1*log(X1) + 147.67*X1 - 99.57*X2*log(X1) - 17.55*X2 + 10.79*log(X1)*log(X2) + 2.29/log(X1),27,0.25444796223702254
28.55*X1*exp(0.57*X1) + 14.79*X2**0.50 - 10.01*X2*exp(0.94*X1) - 10.38*X2 + 73.05 + 5.23/(X1*log(X2)),28,0.23314944868952092
29.61*X1*log(X1) + 115.09*X1 - 106.77*X2*log(X1) + 9.89*log(X1)*log(X2) - 0.95 + 1.90/log(X1) + 2.90/X2,29,0.23149556170663
-22.16*X1*log(X1) + 183.10*X1 - 110.00*X2*log(X1) - 32.77*X2 + 43.28*log(X1)*log(X2) + 2.07/log(X1) - 11.96/X2,31,0.13454565442585587
53.28*X1**0.50*log(X1) + 126.36*X1 - 127.73*X2*log(X1) - 5.40*X2 + 26.65*log(X1)*log(X2) + 1.91/log(X1) + 0.14/X2,32,0.0702313575257232
9.57*X1**0.50*log(X1) + 154.06*X1 - 114.85*X2*log(X1) - 20.08*X2 + 32.54*log(X1)*log(X2) + 1.86/log(X1) - 5.99/X2,33,0.06096749625003924
8.76*X1**0.50*log(X1) + 154.96*X1 - 114.73*X2*log(X1) - 20.15*X2 + 32.27*log(X1)*log(X2) - 0.92 + 1.86/log(X1) - 5.89/X2,34,0.05498319465234967
5.86*X1**0.50*log(X1) + 154.49*X1 - 111.93*X2*log(X1) - 24.07*X2 + 34.50*log(X1)*log(X2) + 6.63 + 1.83/log(X1) - 7.60/X2,35,0.0515143453137486
